strategy,symbol,timeframe,params,trades,win_rate,sharpe,max_drawdown_pct,return_pct,profit_factor,avg_pnl
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",83,0.2651,-6.1833,0.465,-41.2006,0.398,-4.963931
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",83,0.2651,-5.8694,0.4653,-39.9801,0.4232,-4.816885
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",83,0.2651,-5.8694,0.4653,-39.9801,0.4232,-4.816885
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",83,0.2651,-6.1833,0.465,-41.2006,0.398,-4.963931
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",83,0.2651,-5.8694,0.4653,-39.9801,0.4232,-4.816885
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",83,0.2651,-5.8694,0.4653,-39.9801,0.4232,-4.816885
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",83,0.2651,-6.1833,0.465,-41.2006,0.398,-4.963931
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",83,0.2651,-5.8694,0.4653,-39.9801,0.4232,-4.816885
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 3, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",83,0.2651,-5.8694,0.4653,-39.9801,0.4232,-4.816885
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",65,0.2769,-5.7883,0.4329,-38.1081,0.4396,-5.86279
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",65,0.2769,-5.8114,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",65,0.2769,-5.8114,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",65,0.2769,-5.7883,0.4329,-38.1081,0.4396,-5.86279
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",65,0.2769,-5.8114,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",65,0.2769,-5.8114,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",65,0.2769,-5.7883,0.4329,-38.1081,0.4396,-5.86279
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",65,0.2769,-5.8114,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 5, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",65,0.2769,-5.8114,0.4587,-39.0999,0.4251,-6.015368
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",48,0.25,-4.1383,0.3437,-27.9423,0.5306,-5.821317
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.1}",48,0.25,-4.0851,0.3597,-29.2307,0.5042,-6.089724
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 9, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.15}",48,0.25,-4.0851,0.3597,-29.2307,0.5042,-6.089724
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.05}",48,0.25,-4.1383,0.3437,-27.9423,0.5306,-5.821317
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.1}",48,0.25,-4.0851,0.3597,-29.2307,0.5042,-6.089724
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 9, 'stop_loss_pct': 0.05, 'take_profit_pct': 0.15}",48,0.25,-4.0851,0.3597,-29.2307,0.5042,-6.089724
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.05}",48,0.25,-4.1383,0.3437,-27.9423,0.5306,-5.821317
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.1}",48,0.25,-4.0851,0.3597,-29.2307,0.5042,-6.089724
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 15, 'signal': 9, 'stop_loss_pct': 0.07, 'take_profit_pct': 0.15}",48,0.25,-4.0851,0.3597,-29.2307,0.5042,-6.089724
MACD,BTC/USDT,4h,"{'fast': 3, 'slow': 21, 'signal': 3, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",80,0.2375,-6.9876,0.4714,-43.6514,0.3872,-5.456429
